time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/value_loss,train/loss,train/n_updates,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/std,train/clip_range,train/policy_gradient_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
2,1,3795,-7329.9404296875,8192,304.92,,,,,,,,,,,,,
5,2,2806,-7492.791015625,16384,276.08620689655174,232585.7486328125,107333.265625,10,-1.4152639040723443,0.0003,9.775161743164062e-05,0.011474609375,0.9932586550712585,0.2,-0.001134013973933179,0.0037885713,,
9,3,2578,-6940.56005859375,24576,281.1411764705882,381530.2303466797,220541.734375,20,-1.4124099845066667,0.0003,-0.0002219676971435547,0.00599365234375,0.9931203126907349,0.2,-0.0008731923313462176,0.0029286076,,
13,4,2477,-6690.5029296875,32768,281.99,180814.25947265624,88307.859375,30,-1.4219713952392339,0.0003,0.000496983528137207,0.0074951171875,1.0059797763824463,0.2,-0.001978164455795195,0.0020768896,,
,,,,40000,,184138.8617675781,81229.0390625,40,-1.4288864709436893,0.0003,1.1920928955078125e-05,0.0201171875,1.0095117092132568,0.2,-0.002194274244538974,0.0040121404,329.4,-3629.35009765625
18,5,2172,-6718.1435546875,40960,295.81,,,,,,,,,,,,,
22,6,2176,-6266.17919921875,49152,310.94,183224.57109375,71945.5703125,50,-1.4307566352188588,0.0003,0.00023674964904785156,0.00733642578125,1.0095547437667847,0.2,-0.0008413129009568366,0.0026049404,,
26,7,2181,-6195.1875,57344,315.06,116236.63255615234,51458.44921875,60,-1.4266110990196466,0.0003,0.0002548694610595703,0.0153564453125,1.0068410634994507,0.2,-0.0016472807445097714,0.0033841585,,
30,8,2172,-5766.3154296875,65536,322.29,138879.46451416015,67743.0234375,70,-1.4199582386761904,0.0003,0.00029730796813964844,0.0211669921875,0.999500036239624,0.2,-0.0021686538817448308,0.004434133,,
33,9,2172,-5301.62353515625,73728,323.25,101758.96264648438,49822.7421875,80,-1.4181616511195898,0.0003,0.0001806020736694336,0.0240478515625,0.9983615875244141,0.2,-0.0021606974161841206,0.004283654,,
,,,,80000,,90184.95045776367,43985.40625,90,-1.4152012009173631,0.0003,0.0007649064064025879,0.017236328125,0.9962917566299438,0.2,-0.0017755978733475786,0.0038256329,333.7,-4364.0771484375
39,10,2080,-5525.1767578125,81920,330.69,,,,,,,,,,,,,
43,11,2091,-5310.64306640625,90112,337.19,102187.47197265625,45766.9453125,100,-1.4174073634669184,0.0003,0.0006203055381774902,0.00482177734375,0.9971386194229126,0.2,-0.0006078637754399097,0.0019987805,,
46,12,2094,-5101.2685546875,98304,332.72,87049.67660522461,37569.91796875,110,-1.417767251841724,0.0003,0.0008235573768615723,0.00213623046875,0.9992960691452026,0.2,-0.0006647588339546928,0.0017296864,,
50,13,2105,-5369.76708984375,106496,334.69,79618.27741088867,34260.30859375,120,-1.411178813688457,0.0003,0.0016069412231445312,0.009326171875,0.9925430417060852,0.2,-0.001307142312725773,0.0034109717,,
54,14,2114,-4954.07470703125,114688,335.08,112541.25352172852,72359.0625,130,-1.4184774907305837,0.0003,0.0046312808990478516,0.03458251953125,1.0055469274520874,0.2,-0.004090826775427559,0.004164023,,
,,,,120000,,77766.28928833008,53353.48828125,140,-1.4236382802948355,0.0003,0.014279067516326904,0.03160400390625,1.0068286657333374,0.2,-0.0029274309272295795,0.004476613,323.05,-2087.329833984375
59,15,2058,-4472.76953125,122880,325.5,,,,,,,,,,,,,
63,16,2068,-4305.79052734375,131072,329.12,37979.4494140625,25581.2734375,150,-1.4218967445194721,0.0003,0.030095577239990234,0.0099609375,1.0005279779434204,0.2,-0.0010221234981145245,0.0024104966,,
67,17,2074,-3916.496337890625,139264,330.36,41447.42897338867,23655.365234375,160,-1.417728012986481,0.0003,0.045469701290130615,0.028369140625,0.9994167685508728,0.2,-0.00239437719428679,0.004317466,,
70,18,2082,-3416.3271484375,147456,327.9,41838.98960418701,23700.935546875,170,-1.4095832860097288,0.0003,0.04868084192276001,0.00400390625,0.9822281002998352,0.2,-0.0009483454425208038,0.001456782,,
74,19,2089,-3488.54052734375,155648,337.83,31501.547427368165,13551.580078125,180,-1.397899264842272,0.0003,0.16672861576080322,0.0307373046875,0.9769679307937622,0.2,-0.002513141450617695,0.0045787906,,
,,,,160000,,35601.94729003906,20380.70703125,190,-1.3946614736691116,0.0003,0.17791014909744263,0.01927490234375,0.9758619070053101,0.2,-0.0019008843781193718,0.0031381324,320.2,-1725.666748046875
79,20,2052,-3352.06396484375,163840,342.22,,,,,,,,,,,,,
83,21,2060,-3353.3125,172032,341.33,22457.244340515135,10037.384765625,200,-1.39936369843781,0.0003,0.30974018573760986,0.0041015625,0.9796901345252991,0.2,-0.0008515644130966393,0.0010152344,,
87,22,2066,-3021.482177734375,180224,339.58,31169.698164367677,10556.5947265625,210,-1.3984110852703453,0.0003,0.305850625038147,0.03890380859375,0.9814369678497314,0.2,-0.0033844570203655166,0.004411977,,
90,23,2070,-2943.271484375,188416,334.69,14155.17716217041,6555.0224609375,220,-1.4067782951518892,0.0003,0.48486828804016113,0.0134521484375,0.9911089539527893,0.2,-0.0010326893761885003,0.0015487962,,
94,24,2069,-2998.78369140625,196608,335.26,28520.479528808595,14565.0703125,230,-1.4112030688673258,0.0003,0.42970943450927734,0.0386962890625,0.9947701692581177,0.2,-0.0034514491129812087,0.0045848815,,
,,,,200000,,22887.27281188965,16448.130859375,240,-1.410449538938701,0.0003,0.4642646908760071,0.01396484375,0.9889288544654846,0.2,-0.0015417774779052707,0.0010954095,342.6,-1647.6962890625
100,25,2039,-2712.610107421875,204800,337.98,,,,,,,,,,,,,
104,26,2045,-2701.304931640625,212992,338.51,15575.662841796875,10956.775390625,250,-1.4049121897667647,0.0003,0.5173846483230591,0.00609130859375,0.9813558459281921,0.2,-0.0005161200129805366,0.0010967181,,
107,27,2048,-2583.6552734375,221184,340.7,12093.528237152099,6658.8955078125,260,-1.4019308131188155,0.0003,0.6267961263656616,0.01343994140625,0.9863924384117126,0.2,-0.001805597091515665,0.0017919589,,
