#{"t_start": 1773656329.683753, "env_id": "None"}
r,l,t
-3503.7722,196,0.832994
-23801.744,278,0.918659
-3840.6519,286,0.927436
-12382.761,369,1.017754
-11714.688,234,1.177915
-6658.444,401,1.269633
-10696.196,336,1.295379
-23671.916,256,1.298573
-4932.346,232,1.524392
-7106.076,431,1.649731
-10652.824,334,1.664072
-9328.803,401,1.738173
-3905.793,373,1.933137
-1732.8928,210,1.971798
-4673.523,294,1.972774
-2703.1282,320,2.01476
-5426.466,217,2.163538
-2517.59,209,2.18868
-4205.0845,219,2.19915
-3652.1235,213,2.230337
-1636.196,235,2.429741
-3718.7686,323,2.532362
-5563.9517,439,2.631315
-13744.384,385,2.648034
-3176.6326,302,2.757056
-19177.0,258,2.811452
-2554.9797,291,4.579753
-1373.122,224,4.631973
-4890.6255,357,4.641734
-8383.395,260,4.730772
-7908.684,291,4.89435
-4240.9795,292,4.945245
-4265.921,219,4.954147
-8800.457,390,5.031853
-4547.708,243,5.134195
-7883.504,308,5.259838
-2498.2817,323,5.265774
-2895.3555,320,5.353571
-4832.9004,238,5.376027
-2523.3003,220,5.498029
-9174.674,260,5.652421
-6529.669,405,5.69382
-2809.9062,357,5.731783
-7818.2114,281,5.783316
-4323.29,178,5.837178
-2635.6553,217,5.952395
-14355.652,314,6.009927
-8391.317,237,6.078566
-15026.569,333,6.123888
-8095.3267,364,6.323118
-6272.1143,369,6.386726
-4340.71,294,6.420818
-4804.1777,348,6.428844
-2283.6367,300,8.247214
-9616.61,253,8.269266
-2585.7378,329,8.404413
-7011.5757,203,8.473991
-11359.458,420,8.490789
-1590.9617,211,8.500764
-2701.3904,308,8.716624
-4437.649,268,8.744498
-2147.3577,301,8.793856
-6715.5083,321,8.823698
-596.49945,243,8.960056
-17497.857,208,9.000918
-11858.2,373,9.117448
-7180.301,425,9.248565
-4856.289,306,9.266466
-1797.51,268,9.39002
-6755.646,398,9.404595
-12525.027,344,9.603258
-4411.5186,393,9.670425
-10434.652,281,9.678842
-6871.7324,271,9.681961
-1439.4778,231,9.838892
-7983.23,218,9.901927
-3248.4868,285,9.960557
-4862.193,302,9.991627
-3121.5747,223,10.071631
-2987.0454,233,10.198226
-4265.439,224,10.216687
-7123.5264,314,10.219747
-1840.5887,298,12.003098
-4269.555,207,12.082262
-10766.29,325,12.190877
-7659.534,410,12.293601
-7215.508,381,12.411319
-5967.762,355,12.446709
-13142.911,385,12.576268
-8704.467,428,12.724518
-6269.7017,341,12.755034
-6196.9497,349,12.801496
-1235.4316,246,12.82354
-2597.1655,280,12.998867
-3009.85,281,13.075055
-7441.2144,259,13.076092
-8671.094,412,13.160968
-4847.407,229,13.224042
-4740.461,342,13.417986
-16283.329,397,13.474477
-2728.6978,249,13.478366
-6735.1255,460,13.637051
-4585.967,267,13.706742
-4507.8755,224,13.722473
-12993.124,347,13.85162
-5351.0146,220,13.964964
-5557.3716,284,14.02036
-13360.881,472,15.872461
-9616.081,337,15.948877
-5293.303,277,16.048125
-7566.7563,380,16.108553
-591.4669,234,16.198961
-3098.2656,259,16.323017
