rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/loss,train/value_loss,train/clip_fraction,train/n_updates,train/approx_kl,train/entropy_loss,train/learning_rate,train/explained_variance,train/std,train/clip_range,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
298.11538461538464,1,3690,8192,-7850.91357421875,2,,,,,,,,,,,,,
295.92452830188677,2,2746,16384,-6911.326171875,5,184417.21875,341748.2219970703,0.0001708984375,10,0.00049011933,-1.418657937645912,0.0003,-7.390975952148438e-05,0.999416708946228,0.2,-0.0005115790008858312,,
294.3658536585366,3,2538,24576,-6543.49169921875,9,59499.27734375,164376.41002197267,0.00076904296875,20,0.0005911178,-1.428680895641446,0.0003,-0.00011026859283447266,1.017543911933899,0.2,-0.00039255483952729266,,
300.14,4,2436,32768,-6272.865234375,13,120771.3515625,174368.6436767578,0.0045654296875,30,0.0014840302,-1.4424541505053639,0.0003,1.1265277862548828e-05,1.0291073322296143,0.2,-0.0012156939286796843,,
,,,40000,,,87534.5625,165406.6364379883,0.00447998046875,40,0.0013099839,-1.4598977291956543,0.0003,0.0001500248908996582,1.0502097606658936,0.2,-0.0008921801472752122,-3072.19140625,329.9
309.43,5,2078,40960,-6162.17919921875,19,,,,,,,,,,,,,
317.61,6,2064,49152,-5963.005859375,23,58061.2578125,123217.92928466797,0.00325927734375,50,0.0017866229,-1.4575349552556873,0.0003,0.00023031234741210938,1.0319669246673584,0.2,-0.001103126552698086,,
324.78,7,2073,57344,-5740.97119140625,27,35651.015625,114125.38620605468,0.00465087890625,60,0.0017110498,-1.4409943319857121,0.0003,0.00018864870071411133,1.0129259824752808,0.2,-0.0009838527450483526,,
330.12,8,2068,65536,-5028.93212890625,31,35438.5234375,78108.41019287109,0.00399169921875,70,0.0018367372,-1.4280511179938913,0.0003,0.00017154216766357422,1.0066852569580078,0.2,-0.00099045280712744,,
330.6,9,2067,73728,-4360.626953125,35,17167.90625,37397.86341552735,0.00357666015625,80,0.0012323714,-1.4331123044714331,0.0003,0.0003471970558166504,1.015187382698059,0.2,-0.0009625585818866967,,
,,,80000,,,20159.00390625,45002.19541931152,0.0098388671875,90,0.0035096344,-1.4335608990862965,0.0003,0.00011563301086425781,1.01144540309906,0.2,-0.0016497496970259817,-3163.651611328125,338.55
335.33,10,1966,81920,-4129.1630859375,41,,,,,,,,,,,,,
339.28,11,1977,90112,-3550.188232421875,45,20926.251953125,50830.71071472168,0.00828857421875,100,0.0031664548,-1.432153881713748,0.0003,0.0005170106887817383,1.0099343061447144,0.2,-0.0012753663053445053,,
