N,tau,maneuver,max_g,png_hit_rate,ppo_hit_rate,png_n_hits,ppo_n_hits,png_miss_mean,ppo_miss_mean,png_miss_std,ppo_miss_std,png_time_mean,ppo_time_mean,png_energy_mean,ppo_energy_mean
2.5000,0.0500,none,-,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,6.4304,6.4299,283.0070,1140.9148
2.5000,0.0500,step,3,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,7.1786,7.1670,5570.9558,3188.7561
2.5000,0.0500,step,5,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,7.2122,7.1974,13968.7412,5152.5992
2.5000,0.0500,step,7,0.8400,1.0000,42,50,0.0866,0.0000,0.1987,0.0000,7.1550,7.1440,21686.5940,7830.9788
2.5000,0.0500,step,10,0.7800,1.0000,39,50,0.2381,0.0000,0.4556,0.0000,7.1406,7.1346,30930.1724,14017.1100
2.5000,0.0500,step,12,0.6400,1.0000,32,50,0.4062,0.0000,0.6056,0.0000,7.1558,7.1519,35082.9501,18937.9541
2.5000,0.0500,step,15,0.2200,1.0000,11,50,1.2458,0.0000,0.9648,0.0000,7.1310,7.1291,39787.9246,27747.6991
2.5000,0.0500,step,18,0.1200,0.9000,6,45,1.5725,0.0586,1.0479,0.1762,7.1415,7.1416,44973.6643,37844.1458
2.5000,0.0500,step,20,0.0400,0.6600,2,33,2.5693,0.4080,1.1753,0.5974,7.1282,7.1304,48128.1377,46049.5885
2.5000,0.0500,sine,3,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,6.4312,6.4301,2302.4312,2092.6707
2.5000,0.0500,sine,5,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,6.4366,6.4352,4670.9555,3679.7849
2.5000,0.0500,sine,7,0.9800,0.9400,49,47,0.0101,0.0377,0.0706,0.1518,6.4459,6.4442,7357.6240,5754.7659
2.5000,0.0500,sine,10,0.7600,0.7400,38,37,0.1476,0.2319,0.2671,0.4212,6.4665,6.4644,10660.8534,9366.9633
2.5000,0.0500,sine,12,0.5800,0.6000,29,30,0.2890,0.4587,0.3550,0.6273,6.4842,6.4817,12467.0233,11995.2604
2.5000,0.0500,sine,15,0.4400,0.4000,22,20,0.4894,0.9212,0.4715,0.9503,6.5158,6.5128,15057.8958,15567.5569
2.5000,0.0500,sine,18,0.3600,0.2800,18,14,0.6809,1.4554,0.6006,1.3243,6.5524,6.5489,17241.8881,18797.9512
2.5000,0.0500,sine,20,0.3200,0.2400,16,12,0.8023,1.8188,0.6804,1.5860,6.5791,6.5752,18352.5816,20872.7566
2.5000,0.1000,none,-,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,6.4305,6.4299,288.9724,1140.9148
2.5000,0.1000,step,3,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,7.1799,7.1670,6365.8466,3188.7561
2.5000,0.1000,step,5,0.7000,1.0000,35,50,0.2531,0.0000,0.3946,0.0000,7.2138,7.1974,15509.1220,5152.5992
2.5000,0.1000,step,7,0.4200,1.0000,21,50,0.7271,0.0000,0.7072,0.0000,7.1563,7.1440,24062.5111,7830.9788
2.5000,0.1000,step,10,0.2400,1.0000,12,50,1.2744,0.0000,1.1018,0.0000,7.1416,7.1346,35184.0922,14017.1100
2.5000,0.1000,step,12,0.1600,1.0000,8,50,1.9016,0.0000,1.2335,0.0000,7.1559,7.1519,37716.4204,18937.9541
2.5000,0.1000,step,15,0.0400,1.0000,2,50,3.4321,0.0000,1.9164,0.0000,7.1293,7.1291,40839.3033,27747.6991
2.5000,0.1000,step,18,0.0400,0.9000,2,45,4.0028,0.0586,2.4370,0.1762,7.1389,7.1416,47066.5854,37844.1458
2.5000,0.1000,step,20,0.0200,0.6600,1,33,5.9422,0.4080,2.2968,0.5974,7.1236,7.1304,45325.6554,46049.5885
2.5000,0.1000,sine,3,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,6.4315,6.4301,2203.1733,2092.6707
2.5000,0.1000,sine,5,0.7800,1.0000,39,50,0.1452,0.0000,0.2778,0.0000,6.4371,6.4352,4050.6701,3679.7849
2.5000,0.1000,sine,7,0.4400,0.9400,22,47,0.4382,0.0377,0.4212,0.1518,6.4462,6.4442,6140.7542,5754.7659
2.5000,0.1000,sine,10,0.3000,0.7400,15,37,0.7857,0.2319,0.6158,0.4212,6.4664,6.4644,9080.5159,9366.9633
2.5000,0.1000,sine,12,0.2200,0.6000,11,30,1.0095,0.4587,0.7486,0.6273,6.4839,6.4817,10902.6793,11995.2604
2.5000,0.1000,sine,15,0.1600,0.4000,8,20,1.3335,0.9212,0.9572,0.9503,6.5152,6.5128,12719.1079,15567.5569
2.5000,0.1000,sine,18,0.2000,0.2800,10,14,1.5804,1.4554,1.1327,1.3243,6.5517,6.5489,14357.3800,18797.9512
2.5000,0.1000,sine,20,0.1800,0.2400,9,12,1.7165,1.8188,1.2436,1.5860,6.5783,6.5752,15367.4053,20872.7566
2.5000,0.1500,none,-,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,6.4308,6.4299,295.0818,1140.9148
2.5000,0.1500,step,3,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,7.1811,7.1670,7299.7865,3188.7561
2.5000,0.1500,step,5,0.4800,1.0000,24,50,0.6907,0.0000,0.7965,0.0000,7.2152,7.1974,16609.2832,5152.5992
2.5000,0.1500,step,7,0.2000,1.0000,10,50,1.7306,0.0000,1.2715,0.0000,7.1569,7.1440,25605.5513,7830.9788
2.5000,0.1500,step,10,0.0400,1.0000,2,50,3.0188,0.0000,1.7544,0.0000,7.1411,7.1346,36542.0301,14017.1100
2.5000,0.1500,step,12,0.0600,1.0000,3,50,4.1238,0.0000,2.0908,0.0000,7.1539,7.1519,38077.5073,18937.9541
2.5000,0.1500,step,15,0.0400,1.0000,2,50,5.6367,0.0000,3.1730,0.0000,7.1268,7.1291,41083.6811,27747.6991
2.5000,0.1500,step,18,0.0200,0.9000,1,45,6.8012,0.0586,3.7208,0.1762,7.1352,7.1416,46004.9410,37844.1458
2.5000,0.1500,step,20,0.0000,0.6600,0,33,9.1919,0.4080,3.1337,0.5974,7.1177,7.1304,39167.7848,46049.5885
2.5000,0.1500,sine,3,0.8600,1.0000,43,50,0.0900,0.0000,0.2249,0.0000,6.4318,6.4301,1852.7616,2092.6707
2.5000,0.1500,sine,5,0.5400,1.0000,27,50,0.4110,0.0000,0.4827,0.0000,6.4370,6.4352,3301.1928,3679.7849
2.5000,0.1500,sine,7,0.3800,0.9400,19,47,0.7259,0.0377,0.6867,0.1518,6.4460,6.4442,4794.5133,5754.7659
